,cd_curso,semestre,courseid,Users per course,Start Date,End Date,Course duration days,Week before start,course_encoding,Date_threshold_10,Date_threshold_25,Date_threshold_33,Date_threshold_50,Date_threshold_100
69,7512.0,S1,200178.0,161,2020-09-07,2021-01-22,138.0,2020-08-31,69,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
70,7512.0,S1,200179.0,163,2020-09-07,2021-01-22,138.0,2020-08-31,70,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
71,7512.0,S2,200011.0,80,2021-02-08,2021-06-25,138.0,2021-02-01,71,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
72,7512.0,S2,200142.0,78,2021-02-08,2021-06-25,138.0,2021-02-01,72,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
73,7512.0,S2,200167.0,94,2021-02-08,2021-06-25,138.0,2021-02-01,73,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
74,7512.0,S2,200208.0,89,2021-02-08,2021-06-25,138.0,2021-02-01,74,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
75,7512.0,T1,200211.0,172,2020-09-07,2020-11-06,61.0,2020-08-31,75,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-11-13
76,7512.0,T2,200174.0,159,2020-11-02,2021-01-22,82.0,2020-10-26,76,2020-11-13,2020-11-27,2020-12-04,2020-12-18,2021-01-29
77,7512.0,T3,200176.0,160,2021-02-08,2021-04-09,61.0,2021-02-01,77,2021-02-19,2021-02-26,2021-03-05,2021-03-12,2021-04-16
78,7512.0,T3,200180.0,85,2021-02-08,2021-04-09,61.0,2021-02-01,78,2021-02-19,2021-02-26,2021-03-05,2021-03-12,2021-04-16
79,7512.0,T3,200194.0,83,2021-02-08,2021-04-09,61.0,2021-02-01,79,2021-02-19,2021-02-26,2021-03-05,2021-03-12,2021-04-16
80,7512.0,T4,200014.0,84,2021-04-12,2021-06-11,61.0,2021-04-05,80,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-06-18
81,7512.0,T4,200181.0,78,2021-04-12,2021-06-11,61.0,2021-04-05,81,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-06-18
82,7512.0,T4,200207.0,161,2021-04-12,2021-06-11,61.0,2021-04-05,82,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-06-18
83,8259.0,S1,100001.0,62,2020-09-07,2021-01-22,138.0,2020-08-31,83,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
84,8259.0,S1,100008.0,66,2020-09-07,2021-01-22,138.0,2020-08-31,84,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
85,8259.0,S1,100012.0,69,2020-09-07,2021-01-22,138.0,2020-08-31,85,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
86,8259.0,S1,100017.0,38,2020-09-07,2021-01-22,138.0,2020-08-31,86,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
87,8259.0,S1,100023.0,56,2020-09-07,2021-01-22,138.0,2020-08-31,87,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
88,8259.0,S1,100025.0,62,2020-09-07,2021-01-22,138.0,2020-08-31,88,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
89,8259.0,S1,100029.0,42,2020-09-07,2021-01-22,138.0,2020-08-31,89,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
90,8259.0,S1,100040.0,34,2020-09-07,2021-01-22,138.0,2020-08-31,90,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
91,8259.0,S1,100055.0,49,2020-09-07,2021-01-22,138.0,2020-08-31,91,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
92,8259.0,S1,100068.0,52,2020-09-07,2021-01-22,138.0,2020-08-31,92,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
93,8259.0,S1,100070.0,34,2020-09-07,2021-01-22,138.0,2020-08-31,93,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
94,8259.0,S1,100071.0,45,2020-09-07,2021-01-22,138.0,2020-08-31,94,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
95,8259.0,S1,100088.0,35,2020-09-07,2021-01-22,138.0,2020-08-31,95,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
96,8259.0,S1,100091.0,39,2020-09-07,2021-01-22,138.0,2020-08-31,96,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
97,8259.0,S1,100094.0,60,2020-09-07,2021-01-22,138.0,2020-08-31,97,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
98,8259.0,S1,100101.0,45,2020-09-07,2021-01-22,138.0,2020-08-31,98,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
99,8259.0,S1,100147.0,37,2020-09-07,2021-01-22,138.0,2020-08-31,99,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
100,8259.0,S2,100006.0,39,2021-02-08,2021-06-25,138.0,2021-02-01,100,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
101,8259.0,S2,100010.0,48,2021-02-08,2021-06-25,138.0,2021-02-01,101,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
102,8259.0,S2,100027.0,63,2021-02-08,2021-06-25,138.0,2021-02-01,102,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
103,8259.0,S2,100035.0,51,2021-02-08,2021-06-25,138.0,2021-02-01,103,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
104,8259.0,S2,100053.0,48,2021-02-08,2021-06-25,138.0,2021-02-01,104,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
105,8259.0,S2,100063.0,41,2021-02-08,2021-06-25,138.0,2021-02-01,105,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
106,8259.0,S2,100075.0,40,2021-02-08,2021-06-25,138.0,2021-02-01,106,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
107,8259.0,S2,100089.0,43,2021-02-08,2021-06-25,138.0,2021-02-01,107,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
108,8259.0,S2,100102.0,51,2021-02-08,2021-06-25,138.0,2021-02-01,108,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
109,8259.0,S2,100105.0,52,2021-02-08,2021-06-25,138.0,2021-02-01,109,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
110,8259.0,S2,100137.0,39,2021-02-08,2021-06-25,138.0,2021-02-01,110,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
111,859.0,S1,200223.0,33,2020-09-07,2021-01-22,138.0,2020-08-31,111,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
112,859.0,S1,200224.0,32,2020-09-07,2021-01-22,138.0,2020-08-31,112,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
