,cd_curso,semestre,courseid,Users per course,Start Date,End Date,Course duration days,Week before start,course_encoding,Date_threshold_10,Date_threshold_25,Date_threshold_33,Date_threshold_50,Date_threshold_100
15,4281.0,S2,200190.0,35,2021-02-08,2021-06-25,138.0,2021-02-01,15,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
16,4281.0,T1,200088.0,33,2020-09-07,2020-11-06,61.0,2020-08-31,16,2020-09-18,2020-09-25,2020-10-02,2020-10-09,2020-11-13
17,4955.0,S1,200012.0,28,2020-09-07,2021-01-22,138.0,2020-08-31,17,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
18,4955.0,S1,200071.0,28,2020-09-07,2021-01-22,138.0,2020-08-31,18,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
19,4955.0,S1,200165.0,28,2020-09-07,2021-01-22,138.0,2020-08-31,19,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
20,4955.0,S2,200013.0,30,2021-02-08,2021-06-25,138.0,2021-02-01,20,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
21,4955.0,S2,200166.0,28,2021-02-08,2021-06-25,138.0,2021-02-01,21,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
22,4955.0,S2,200167.0,28,2021-02-08,2021-06-25,138.0,2021-02-01,22,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
23,4967.0,S1,200187.0,39,2020-09-07,2021-01-22,138.0,2020-08-31,23,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
24,4967.0,S1,200196.0,36,2020-09-07,2021-01-22,138.0,2020-08-31,24,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
25,4967.0,S1,400082.0,37,2020-09-07,2021-01-22,138.0,2020-08-31,25,2020-09-25,2020-10-16,2020-10-23,2020-11-20,2021-01-29
26,4967.0,S2,200188.0,39,2021-02-08,2021-06-25,138.0,2021-02-01,26,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
27,4967.0,S2,400081.0,32,2021-02-08,2021-06-25,138.0,2021-02-01,27,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
28,4967.0,T4,200200.0,38,2021-04-12,2021-06-11,61.0,2021-04-05,28,2021-04-23,2021-04-30,2021-05-07,2021-05-14,2021-06-18
29,4969.0,S2,400092.0,30,2021-02-08,2021-06-25,138.0,2021-02-01,29,2021-02-26,2021-03-19,2021-03-26,2021-04-23,2021-07-02
