,course,Users per course,Start Date,End Date,Course duration days,Week before start,Date_threshold_10,Date_threshold_25,Date_threshold_33,Date_threshold_50,Date_threshold_100
375,418.0,55.0,2015-01-26,2015-05-22,117.0,2015-01-19,2015-02-06,2015-02-27,2015-03-06,2015-03-27,2015-05-29
376,4186.0,43.0,2015-01-26,2015-05-22,117.0,2015-01-19,2015-02-06,2015-02-27,2015-03-06,2015-03-27,2015-05-29
377,4187.0,65.0,2015-03-02,2015-06-05,96.0,2015-02-23,2015-03-13,2015-03-27,2015-04-03,2015-04-24,2015-06-12
378,4189.0,145.0,2015-01-26,2015-06-19,145.0,2015-01-19,2015-02-13,2015-03-06,2015-03-20,2015-04-10,2015-06-26
379,4194.0,87.0,2015-01-19,2015-05-29,131.0,2015-01-12,2015-02-06,2015-02-20,2015-03-06,2015-03-27,2015-06-05
380,4198.0,125.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
384,4212.0,123.0,2014-09-08,2015-01-16,131.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-23
385,4213.0,144.0,2014-10-13,2014-12-12,61.0,2014-10-06,2014-10-24,2014-10-31,2014-11-07,2014-11-14,2014-12-19
386,4214.0,26.0,2014-09-08,2015-01-09,124.0,2014-09-01,2014-09-26,2014-10-10,2014-10-24,2014-11-14,2015-01-16
387,4216.0,58.0,2015-02-16,2015-05-29,103.0,2015-02-09,2015-02-27,2015-03-13,2015-03-27,2015-04-10,2015-06-05
391,4247.0,62.0,2014-09-01,2015-01-16,138.0,2014-08-25,2014-09-19,2014-10-10,2014-10-17,2014-11-14,2015-01-23
393,4256.0,99.0,2014-09-01,2014-12-19,110.0,2014-08-25,2014-09-12,2014-10-03,2014-10-10,2014-10-31,2014-12-26
395,4262.0,70.0,2015-02-09,2015-05-15,96.0,2015-02-02,2015-02-20,2015-03-06,2015-03-13,2015-04-03,2015-05-22
407,4580.0,26.0,2014-09-08,2014-11-14,68.0,2014-09-01,2014-09-19,2014-09-26,2014-10-03,2014-10-17,2014-11-21
415,4633.0,29.0,2014-11-10,2014-12-12,33.0,2014-11-03,2014-11-14,2014-11-21,2014-11-21,2014-11-28,2014-12-19
418,4641.0,25.0,2014-10-06,2015-01-09,96.0,2014-09-29,2014-10-17,2014-10-31,2014-11-07,2014-11-28,2015-01-16
419,4642.0,29.0,2014-11-03,2015-03-20,138.0,2014-10-27,2014-11-21,2014-12-12,2014-12-19,2015-01-16,2015-03-27
425,4728.0,25.0,2014-09-29,2014-11-14,47.0,2014-09-22,2014-10-03,2014-10-10,2014-10-17,2014-10-24,2014-11-21
434,4923.0,47.0,2014-09-08,2015-06-05,271.0,2014-09-01,2014-10-10,2014-11-14,2014-12-12,2015-01-23,2015-06-12
435,4936.0,35.0,2015-03-30,2015-05-08,40.0,2015-03-23,2015-04-03,2015-04-10,2015-04-17,2015-04-24,2015-05-15
437,5001.0,103.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
439,5009.0,36.0,2015-01-26,2015-05-15,110.0,2015-01-19,2015-02-06,2015-02-27,2015-03-06,2015-03-27,2015-05-22
441,5021.0,89.0,2014-11-10,2015-02-13,96.0,2014-11-03,2014-11-21,2014-12-05,2014-12-12,2015-01-02,2015-02-20
442,5035.0,100.0,2014-09-08,2015-01-23,138.0,2014-09-01,2014-09-26,2014-10-17,2014-10-24,2014-11-21,2015-01-30
