course,userid,final_fail,final_gifted
1013.0,23725.0,1,0
1013.0,26862.0,1,0
1013.0,26978.0,1,0
1013.0,27510.0,1,0
1013.0,29407.0,1,0
1013.0,35683.0,1,0
1013.0,39360.0,1,0
1013.0,40008.0,1,0
1013.0,43386.0,1,0
1013.0,43848.0,1,0
1013.0,44229.0,1,0
1013.0,44382.0,1,0
1013.0,44622.0,1,0
1013.0,44642.0,1,0
1013.0,44769.0,1,0
1013.0,45428.0,1,0
1013.0,45696.0,1,0
1013.0,45731.0,1,0
1013.0,45848.0,1,0
1013.0,46018.0,1,0
1013.0,46032.0,1,0
1013.0,46046.0,1,0
1013.0,46121.0,1,0
1013.0,46172.0,1,0
1013.0,46211.0,1,0
1013.0,46357.0,1,0
1013.0,46481.0,0,1
1013.0,46567.0,1,0
1013.0,46644.0,1,0
1013.0,46715.0,1,0
1013.0,47300.0,1,0
1013.0,47678.0,1,0
1013.0,47709.0,1,0
1013.0,47962.0,1,0
1013.0,51808.0,1,0
1013.0,51856.0,1,0
1013.0,51897.0,1,0
1013.0,52032.0,1,0
1013.0,52322.0,1,0
1013.0,52439.0,1,0
1013.0,52474.0,1,0
1013.0,52515.0,1,0
1013.0,52539.0,1,0
1013.0,52605.0,1,0
1013.0,52629.0,1,0
1013.0,52864.0,1,0
1013.0,52907.0,1,0
1013.0,52943.0,1,0
1013.0,53055.0,1,0
1013.0,53205.0,1,0
1013.0,53265.0,1,0
1013.0,53310.0,1,0
1013.0,53538.0,1,0
1013.0,53848.0,1,0
1013.0,53887.0,1,0
1013.0,54371.0,1,0
1013.0,54507.0,1,0
1013.0,54813.0,1,0
1013.0,54819.0,1,0
1013.0,54821.0,1,0
1013.0,54975.0,1,0
1013.0,55162.0,1,0
1013.0,55253.0,1,0
1013.0,55264.0,1,0
1013.0,56464.0,1,0
1013.0,57957.0,0,1
1013.0,63941.0,1,0
1013.0,63962.0,1,0
1013.0,73818.0,1,0
1013.0,73874.0,1,0
1013.0,9446.0,1,0
1039.0,16464.0,1,0
1039.0,16598.0,1,0
1039.0,19848.0,1,0
1039.0,22337.0,1,0
1039.0,22638.0,1,0
1039.0,22675.0,1,0
1039.0,23997.0,1,0
1039.0,24169.0,0,0
1039.0,24464.0,1,0
1039.0,24656.0,1,0
1039.0,25936.0,1,0
1039.0,26126.0,1,0
1039.0,26127.0,1,0
1039.0,26775.0,1,0
1039.0,27165.0,1,0
1039.0,27437.0,1,0
1039.0,28005.0,1,0
1039.0,29897.0,1,0
1039.0,35254.0,1,0
1039.0,35447.0,1,0
1039.0,35448.0,1,0
1039.0,35684.0,1,0
1039.0,36271.0,1,0
1039.0,36779.0,1,0
