courseid,userid,Grade Mandatory,Grade Optional,final_mark
1000.0,17391.0,0.5,,10.0
1000.0,21448.0,0.4695121951219512,0.0,4.695121951219512
1000.0,21844.0,0.4695121951219512,,9.390243902439025
1000.0,22429.0,0.45121951219512196,,9.02439024390244
1000.0,22535.0,0.25609756097560976,,5.121951219512195
1000.0,23017.0,0.5,,10.0
1000.0,26675.0,0.5,,10.0
1000.0,26819.0,0.25609756097560976,,5.121951219512195
1000.0,29532.0,0.45121951219512196,,9.02439024390244
1000.0,64770.0,0.4695121951219512,,9.390243902439025
1000.0,64836.0,0.45121951219512196,,9.02439024390244
1000.0,7596.0,0.25609756097560976,0.0,2.5609756097560976
1002.0,17881.0,0.3745874587458746,,7.4917491749174925
1002.0,18107.0,0.1872937293729373,,3.7458745874587462
1002.0,18204.0,0.3836633663366336,,7.673267326732672
1002.0,18541.0,0.367986798679868,,7.35973597359736
1002.0,21844.0,0.316006600660066,,6.320132013201319
1002.0,22535.0,0.334983498349835,,6.6996699669967
1002.0,22888.0,0.3853135313531353,,7.706270627062706
1002.0,23037.0,0.3415841584158416,,6.831683168316832
1002.0,24580.0,0.33828382838283827,,6.765676567656765
1002.0,26329.0,0.3745874587458746,,7.4917491749174925
1002.0,26426.0,0.3671617161716172,,7.343234323432344
1002.0,26452.0,0.36963696369636967,,7.392739273927393
1002.0,26819.0,0.24587458745874588,,4.917491749174918
1002.0,34751.0,0.3952145214521452,,7.904290429042904
1002.0,64770.0,0.396039603960396,,7.92079207920792
1002.0,65480.0,0.32673267326732675,,6.534653465346535
1002.0,73136.0,0.38861386138613857,,7.772277227722771
1002.0,73161.0,0.39026402640264024,,7.805280528052805
1002.0,73557.0,0.40016501650165015,,8.003300330033003
1002.0,73639.0,0.39108910891089105,,7.821782178217821
1002.0,75187.0,0.32673267326732675,,6.534653465346535
1002.0,7596.0,0.23679867986798678,,4.735973597359735
1010.0,14685.0,0.05000000000000001,,1.0000000000000002
1010.0,15403.0,0.030833333333333334,0.0,0.30833333333333335
1010.0,15592.0,0.045000000000000005,0.0,0.45000000000000007
1010.0,16457.0,0.035833333333333335,0.0,0.35833333333333334
1010.0,17576.0,0.0325,0.0,0.325
1010.0,17668.0,0.0325,0.0,0.325
1010.0,18802.0,0.035833333333333335,0.0,0.35833333333333334
1010.0,18838.0,0.0375,0.0,0.375
1010.0,20331.0,0.035,0.0,0.35000000000000003
1010.0,20943.0,0.045000000000000005,0.0,0.45000000000000007
1010.0,22054.0,0.03916666666666666,0.0,0.3916666666666666
1010.0,23119.0,0.036666666666666674,0.0,0.36666666666666675
1010.0,24371.0,0.04,0.0,0.4
1010.0,26577.0,0.03166666666666667,0.0,0.3166666666666667
1010.0,26891.0,0.03916666666666667,0.0,0.3916666666666667
1010.0,26892.0,0.03833333333333334,0.0,0.38333333333333336
1010.0,31528.0,0.05000000000000001,0.0,0.5000000000000001
1010.0,31566.0,0.041666666666666664,0.0,0.41666666666666663
1010.0,32392.0,0.03916666666666667,0.0,0.3916666666666667
1010.0,34862.0,0.04666666666666667,0.0,0.4666666666666667
1010.0,35384.0,0.04,0.0,0.4
1010.0,35549.0,0.024999999999999998,0.0,0.24999999999999997
1010.0,35904.0,0.0325,0.0,0.325
1010.0,36004.0,0.041666666666666664,0.0,0.41666666666666663
1010.0,36282.0,0.04666666666666667,0.0,0.4666666666666667
1010.0,36494.0,0.043333333333333335,0.0,0.43333333333333335
1010.0,36627.0,0.03833333333333334,,0.7666666666666667
1010.0,37591.0,0.04833333333333334,,0.9666666666666668
1010.0,37766.0,0.04666666666666667,,0.9333333333333333
1010.0,37968.0,0.04666666666666667,0.0,0.4666666666666667
1010.0,38099.0,0.045,,0.8999999999999999
1010.0,39675.0,0.025,0.0,0.25
1010.0,39760.0,0.04666666666666667,0.0,0.4666666666666667
1010.0,39912.0,0.03166666666666667,0.0,0.3166666666666667
1010.0,40067.0,0.05000000000000001,0.0,0.5000000000000001
1010.0,58286.0,,0.0,0.0
1010.0,58588.0,0.025,,0.5
1010.0,6077.0,0.045000000000000005,0.0,0.45000000000000007
1010.0,72059.0,0.043333333333333335,0.0,0.43333333333333335
1010.0,72979.0,0.043333333333333335,0.0,0.43333333333333335
1010.0,73023.0,0.04833333333333334,0.0,0.4833333333333334
1010.0,73068.0,0.03375,0.0,0.3375
1010.0,73111.0,0.035,0.0,0.35000000000000003
1010.0,73361.0,0.03333333333333333,0.0,0.3333333333333333
1010.0,73619.0,0.04833333333333334,0.0,0.4833333333333334
1010.0,74364.0,0.04583333333333334,0.0,0.45833333333333337
1010.0,8782.0,0.04666666666666667,0.0,0.4666666666666667
1010.0,9680.0,0.04833333333333334,0.0,0.4833333333333334
1013.0,1254.0,0.0,0.0,0.0
1013.0,23725.0,0.5,0.0,5.0
1013.0,26862.0,0.25,0.0,2.5
1013.0,26978.0,0.35,0.0,3.5
1013.0,27510.0,0.35,0.0,3.5
1013.0,29407.0,0.5,0.0,5.0
1013.0,35683.0,0.5,0.0,5.0
1013.0,39360.0,0.5,0.0,5.0
1013.0,40008.0,0.4,0.0,4.0
1013.0,43386.0,,0.0,0.0
1013.0,43848.0,0.5,0.0,5.0
1013.0,44229.0,0.4,0.0,4.0
1013.0,44382.0,0.5,0.0,5.0
1013.0,44622.0,0.5,0.0,5.0
1013.0,44642.0,0.5,0.0,5.0
1013.0,44769.0,0.5,0.0,5.0
1013.0,45428.0,0.5,0.0,5.0
1013.0,45696.0,0.3,0.0,3.0
1013.0,45731.0,0.5,0.0,5.0
