,id,category,sortorder,fullname,shortname,idnumber,summary,summaryformat,format,showgrades,newsitems,startdate,marker,maxbytes,legacyfiles,showreports,visible,visibleold,groupmode,groupmodeforce,defaultgroupingid,lang,calendartype,theme,timecreated,timemodified,requested,enablecompletion,completionnotify,cacherev
1578,1600.0,1.0,12390.0,nombre,"T_1C,A_13363","T_1C,A_13363",-,1.0,topics,1.0,1.0,1421967600.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1307606791.0,1422015788.0,0.0,0.0,0.0,1425313993.0
1579,1601.0,1.0,12389.0,nombre,"T_1C,A_13431","T_1C,A_13431",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307621148.0,1316425890.0,0.0,0.0,0.0,1425313993.0
1580,1602.0,1.0,12388.0,nombre,"T_1C,A_13243","T_1C,A_13243",-,1.0,topics,1.0,1.0,1359068400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307620187.0,1359129240.0,0.0,0.0,0.0,1425313993.0
1581,1603.0,1.0,12387.0,nombre,"T_1C,A_13256","T_1C,A_13256",-,1.0,topics,1.0,1.0,1410904800.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1307616601.0,1410945730.0,0.0,0.0,0.0,1426607988.0
1582,1604.0,1.0,12386.0,nombre,"T_1C,A_13372","T_1C,A_13372",-,1.0,topics,1.0,1.0,1413237600.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1307605687.0,1413287407.0,0.0,0.0,0.0,1425313993.0
1583,1605.0,1.0,12385.0,nombre,"T_1C,A_13254","T_1C,A_13254",-,0.0,topics,0.0,5.0,1347746400.0,0.0,41943040.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1347437994.0,1347782459.0,0.0,0.0,0.0,1425313993.0
1584,1606.0,1.0,12384.0,nombre,"T_1C,A_13490","T_1C,A_13490",-,1.0,topics,1.0,1.0,1361660400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307608208.0,1361733847.0,0.0,0.0,0.0,1425313993.0
1585,1607.0,1.0,12383.0,nombre,"T_1C,A_13424","T_1C,A_13424",-,1.0,topics,1.0,1.0,1391727600.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307621217.0,1391779196.0,0.0,0.0,0.0,1425313993.0
1586,1608.0,1.0,12382.0,nombre,"T_1C,A_13912,G_((B))","T_1C,A_13912,G_((B))",-,1.0,weeks,1.0,1.0,1365372000.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307615672.0,1365494946.0,0.0,0.0,0.0,1425313993.0
1587,1609.0,1.0,12381.0,nombre,"T_1C,A_13525","T_1C,A_13525",-,1.0,topics,1.0,1.0,1362524400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307616779.0,1362576390.0,0.0,0.0,0.0,1425313993.0
